id,mu_global,share,seq,FAO90,sand,silt,clay,usda_tex,ref_bd,bd,C,SOC
12536,11728,100,1,Eutric Gleysols,37,40,23,loam,1.38,1.35,1.07,43.335
12537,11729,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12538,11730,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12539,11731,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12540,11732,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12541,11733,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12542,11734,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12543,11735,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12544,11736,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12545,11737,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12546,11738,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12547,11739,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12548,11740,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12549,11741,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12550,11742,100,1,Gelic Cambisols,74,16,10,sandy loam,1.58,1.48,0.7,31.08
12551,11743,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12552,11744,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12553,11745,100,1,Gelic Cambisols,31,49,20,loam,1.39,1.39,2.02,84.234
12554,11746,100,1,Gelic Leptosols,56,38,6,sandy loam,1.61,1.3,1.41,54.99
12555,11747,100,1,Eutric Leptosols,46,34,20,loam,1.42,1.39,1.13,47.121
12556,11748,100,1,Eutric Leptosols,46,34,20,loam,1.42,1.39,1.13,47.121
12557,11749,100,1,Calcaric Cambisols,36,43,21,loam,1.39,1.41,0.65,27.495
12558,11750,100,1,Calcaric Cambisols,36,43,21,loam,1.39,1.41,0.65,27.495
